SARS	 coronaviruses	 Considering the great animal health and economic impact of IBV as well as the recent emergence of novel coronaviruses such as SARS-coronavirus, it is important to investigate the role of wildlife reservoirs in CoV infection biology and epidemiology.	 coronaviruses such as SARS	 causative_agent_of	no
malaria	 proguanil	 Atovaquone-proguanil is one such combination drug used both for prophylaxis in travellers, and for treatment of acute malaria cases in European hospitals and clinics.	 proguanil is one such combination drug used both for prophylaxis in travellers, and for treatment of acute malaria	 may_treat	yes
lipid	 cancer	 PPARα serves as a xenobiotic and lipid sensor to regulate energy combustion, hepatic steatosis, lipoprotein synthesis, inflammation and liver cancer.	lipid d sensor to regulate energy combustion, hepatic steatosis, lipoprotein synthesis, inflammation and liver cancer	 	no_rel
cross	 glucose	 RESEARCH DESIGN AND METHODS —This was a cross-sectional sample of 281 individuals with normal glucose metabolism (NGM), 181 individuals with impaired glucose metabolism (IGM), and 107 subjects with type 2 diabetes.	cross ss-sectional sample of 281 individuals with normal glucose metabolism (NGM), 181 individuals with impaire glucose	 	no_rel
virus	 viruses	 Here we outline the known ecology of the mosquito-borne equine encephalitis viruses (WEEV, EEEV, and VEEV), WNV, USUV, RVFV, and Japanese Encephalitis virus, as well as Tick-Borne Encephalitis virus and its North American counterpart Powassan virus, and will discuss the most likely mode that these viruses could expand their respective geographical range.	virus  and its North American counterpart Powassan virus, and will discuss the most likely mode that these  viruses	 causative_agent_of	no
falciparum malaria	 proguanil	 Among the various antimalarial drugs available, the synergistic combination of atovaquone and proguanil (A/P) (Malarone®; Glaxo-SmithKline) has proven a valuable option in terms of effective protection against chloroquine and multi-drug resistant falciparum malaria, safety, tolerability, and ease of use, thus favoring compliance.	 proguanil (A/P) (Malarone®; Glaxo-SmithKline) has proven a valuable option in terms of effective protection against chloroquine and multi-drug resistantfalciparum malaria	 may_prevent	yes
carbohydrate	 IBD	 We examined the abundance and diversity of Clostridium leptum group, an important group of carbohydrate-fermenting bacteria, in the feces of patients with IBD and compared them with healthy controls.	carbohydrate -fermenting bacteria, in the feces of patients with  IBD	 	no_rel
TB	 BCG	 Although 91.4% knew TB was transmitted via aerosols, about one-third did not know the method for administering tuberculin, or that Bacillus Calmette-Guerin (BCG) vaccine was not a contraindication to TB skin testing.	 BCG  vaccine was not a contraindication to TB	 contraindicated_with_disease	no
eczema	 antibiotics	 This paper explores the possible association between antibiotics prescribed in infancy and allergic disorders, mainly eczema and asthma, in childhood.	 antibiotics prescribed in infancy and allergic disorders, mainly eczema	 	no_rel
Sulphasalazine	 JIA	 The routinely accepted practice to start with Sulphasalazine (SS) as the first line treatment in patients with HLA B27 positive JIA proves to be ineffective in a large proportion of children.	Sulphasalazine  (SS) as the first line treatment in patients with HLA B27 positive  JIA	 	no_rel
falciparum malaria	 Mefloquine	 Mefloquine-artesunate combination therapy for uncomplicated falciparum malaria is one of the treatments used in African children.	 Mefloquine artesunate combination therapy for uncomplicated falciparum malaria	 may_treat	yes
alcohol dependence syndrome	 Disulfiram	 Disulfiram is the drug that is commonly prescribed for the treatment of alcohol dependence syndrome, and transient functional psychosis has been reported as one of its side-effects.	 Disulfiram is the drug that is commonly prescribed for the treatment of alcohol dependence syndrome	 may_treat	yes
deficit	 tocopherols	 The concentrations of antioxidant compounds namely phenolics, carotenoids, flavonoids and tocopherols estimated in the seed oil increased due to foliar-applied proline under water deficit conditions that was positively correlated with the enhanced oil DPPH free radical scavenging activity.	 tocopherols estimated in the seed oil increased due to foliar-applied proline under water deficit	 	no_rel
OA	 marine toxins	 In this review, we focus on processes, organs and systems targeted by the marine toxins yessotoxin (YTX), okadaic acid (OA) and palytoxin (PTX).	 marine toxins yessotoxin (YTX), okadaic acid (OA	 	no_rel
Type 2 diabetes	 insulin	 Genetic predisposition for Type 2 diabetes, but not for overweight/obesity, was associated with inappropriate expansion of the adipose cells, reduced insulin sensitivity and a more proatherogenic lipid profile in non-obese individuals.	Type 2 diabetes , but not for overweight/obesity, was associated with inappropriate expansion of the adipose cells, reduced  insulin	 may_treat	yes
insulin	 KPD	 RESEARCH DESIGN AND METHODS —At Saint-Louis Hospital, Paris, France, 15 African patients with KPD with an average 10.5-month insulin-free near-normoglycemic remission period (mean A1C 6.2%) were compared with 17 control subjects matched for age, sex, BMI, and geographical origin.	 KPD D with an average 10.5-montinsulin	 	no_rel
gout	 allopurinol	 Options for treatment of chronic gout until 2008 were allopurinol, a xanthine oxidase inhibitor, and the group of drugs known as uricosurics that stimulate the renal excretion of uric acid.	gout  until 2008 were  allopurinol	 may_treat	yes
HBV	 lamivudine	 At week 48, clevudine therapy produced a significantly greater mean reductions in serum HBV DNA levels from baseline than lamivudine therapy (-5.2 vs. -4.2 log10IU/mL; P =0.005).	HBV  DNA levels from baseline than  lamivudine	 may_treat	yes
Melioidosis	 Burkholderia pseudomallei	 Melioidosis, an infection due to gram negative Burkholderia pseudomallei , is an important cause of sepsis in east Asia especially Thailand and northern Australia.	Melioidosis , an infection due to gram negative  Burkholderia pseudomallei	 causative_agent_of	no
flu	 influenza virus	 The 2009 flu pandemic is a global outbreak of a new strain of H1N1 influenza virus.	flu  pandemic is a global outbreak of a new strain of H1N1  influenza virus	 causative_agent_of	no
MRSA	 Staphylococcus aureus	 It was demonstrated that Persian shallot hydromethanolic extract was effective against 10 different species of pathogenic bacteria including methicillin resistant Staphylococcus aureus (MRSA), methicillin sensitive Staphylococcus aureus (MSSA), Staphylococcus aureus , Staphylococcus epidermidis , Streptococcus pneumoniae , Escherichia coli, Escherichia coli O157H7, Salmonella typhimurium, Proteus mirabilis , and Klebsiella pneumoniae .	MRSA ), methicillin sensitive  Staphylococcus aureus	 causative_agent_of	no
cholera	 V. cholerae	 These results demonstrate that immunization with CTB by any of several routes and dosing regimens can provide protection against live V. cholerae challenge in the suckling mouse model of cholera.	 V. cholerae challenge in the suckling mouse model of cholera	 causative_agent_of	no
cancer	 smoke	 These polymorphisms might ultimately contribute to lung cancer risk via their effect on the airway gene expression response to tobacco-smoke exposure.	cancer  risk via their effect on the airway gene expression response to tobacco- smoke	 	no_rel
AIDS	 HIV	 Results At the end of 2003, 2005, 2007 and 2009, there were an estimated 0.84, 0.65, 0.70 and 0.74 million people living with HIV/AIDS in China, respectively, with an overall HIV prevalence of 0.05–0.06%.	 HIV AIDS	 causative_agent_of	no
TB	 antituberculosis	 Antiretroviral-naive HIV-infected patients with TB were recruited to a trial of once-daily nonnucleoside reverse-transcriptase inhibitor (NNRTI)–based ART and treated with rifampicin-based thrice-weekly antituberculosis treatment (ATT); participants were randomized to receive didanosine (250/400 mg) and lamivudine (300 mg) with either efavirenz (600 mg) or nevirapine (400 mg) once-daily after an intensive phase of ATT.	TB  were recruited to a trial of once-daily nonnucleoside reverse-transcriptase inhibitor (NNRTI)–based ART and treated with rifampicin-based thrice-weekl antituberculosis	 may_treat	yes
cavity	 solvent	 On average 15 Å3 of cavity volume is found to accommodate single water, with another 40–45 Å3 needed for each additional solvent molecule.	cavity y volume is found to accommodate single water, with another 40–45 Å3 needed for each additio solvent	 	no_rel
pain	 lidocaine	 The combination of microemulsion propofol premixed with lidocaine after a pretreatment with remifentanil was more effective in reducing the incidence of pain upon the injection of microemulsion propofol than either treatment alone.	 lidocaine after a pretreatment with remifentanil was more effective in reducing the incidence of pain	 may_treat	yes
atopic dermatitis	 atopic	 Allergic rhinitis, atopic/non-atopic asthma, and atopic dermatitis were equally prevalent among the study groups except for the CRS/ROM group in which non-atopic asthma was more prevalent (52.6%).	 atopic non-atopic asthma, and atopic dermatitis	 cause_of	no
AIDS	 HIV	 Monthly changes in the volume of HIV and non-HIV services were analyzed by using multilevel models to examine the effect of an HIV/AIDS program on health service delivery.	 HIV services were analyzed by using multilevel models to examine the effect of an HIV/AIDS	 causative_agent_of	no
AIDS-related complex	 HIV	 These findings do not include AIDS-related complex (ARC) or other manifestations of human immunodeficiency virus (HIV) infection.	AIDS-related complex  (ARC) or other manifestations of human immunodeficiency virus ( HIV	 causative_agent_of	no
